Rk,Gcar,Gtm,Date▲,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,Pos
1,687,1,Apr 14,NYY,@,WSH,W3-0,CG,4,4,0,2,0,1,0,1,0,0,0,0,0,,0,0,1,0,.500,.500,1.000,1.500,4,.65,0.139,1.40,CF
2,688,2,Apr 15,NYY,,PHA,L1-3,CG,4,4,1,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,.500,.500,.875,1.375,4,1.06,0.032,0.60,CF
3,689,3,Apr 16,NYY,,PHA,L7-10,CG,5,5,1,4,2,0,1,2,0,0,0,0,0,,0,0,0,0,.615,.615,1.231,1.846,4,.93,0.171,2.72,CF
4,690,4,Apr 17,NYY,,PHA,W9-4,CG,5,4,2,2,0,0,0,0,1,0,0,0,0,,0,0,0,0,.588,.611,1.059,1.670,4,.54,0.011,1.03,CF
5,691,5,Apr 18,NYY,@,WSH,L4-7,CG,4,4,1,1,0,0,0,1,0,0,0,0,0,,0,0,1,0,.524,.545,.905,1.450,4,1.29,-0.069,0.31,CF
6,692,6,Apr 19,NYY,@,WSH,W5-2,CG(10),5,5,1,1,0,0,1,2,0,0,0,0,0,,0,0,0,0,.462,.481,.885,1.366,4,1.52,-0.062,0.23,CF
7,693,7,Apr 20,NYY,@,PHA,W19-5,CG,6,5,4,3,0,0,1,6,1,0,0,0,0,,0,0,0,0,.484,.515,.935,1.451,4,1.11,0.218,4.56,CF
8,694,8,Apr 21,NYY,@,PHA,W14-4,CG,6,5,3,4,1,0,1,2,1,0,0,0,0,,0,0,0,0,.528,.564,1.028,1.592,4,.37,0.066,2.28,CF
9,695,9,Apr 22,NYY,@,PHA,L5-6,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,.487,.535,.949,1.484,4,1.03,-0.072,-0.58,CF
10,696,10,Apr 23,NYY,,BOS,W4-2,CG(11),5,4,0,0,0,0,0,1,1,1,0,0,0,,0,0,0,0,.442,.500,.860,1.360,4,2.16,-0.129,-0.70,CF
11,697,11,Apr 24,NYY,,BOS,W6-3,CG,5,3,0,0,0,0,0,0,2,2,0,0,0,,0,0,0,0,.413,.491,.804,1.295,4,1.11,-0.127,-1.04,CF
12,698,12,Apr 25,NYY,,WSH,W6-0,CG,5,5,1,1,0,0,0,1,0,0,2,0,0,,0,1,0,0,.392,.466,.745,1.211,4,.38,0.041,-0.61,CF
13,699,13,Apr 26,NYY,,WSH,W8-3,CG,5,3,2,1,0,0,0,1,2,0,0,0,0,,0,0,0,0,.389,.476,.722,1.198,4,.53,0.075,1.04,CF
14,700,14,Apr 27,NYY,,WSH,L3-6,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,,0,0,0,0,.379,.463,.741,1.204,4,.61,-0.046,0.40,CF
15,701,15,Apr 29,NYY,@,SLB,L2-3,CG,4,2,1,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,.367,.465,.717,1.181,4,1.45,-0.027,0.02,CF
16,702,16,Apr 30,NYY,@,SLB,W7-1,CG,5,4,0,2,1,0,0,1,1,1,0,0,0,,0,0,0,0,.375,.474,.719,1.192,4,.60,0.034,0.95,CF
17,703,17,May 1,NYY,@,SLB,W14-5,CG,6,3,3,1,1,0,0,1,3,2,0,0,0,,1,0,0,0,.373,.488,.716,1.204,4,.33,0.030,2.17,CF
18,704,18,May 2,NYY,@,CHW,L1-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,.352,.465,.676,1.141,4,.63,-0.065,-0.85,CF
19,705,19,May 3,NYY,@,CHW,W6-5,CG(13),6,3,1,0,0,0,0,0,2,1,0,1,0,,0,0,0,0,.338,.467,.649,1.116,4,1.56,-0.007,-0.13,CF
20,706,20,May 4,NYY,@,DET,L1-10,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,.333,.458,.641,1.099,4,.40,0.011,-0.36,CF
21,707,21,May 5,NYY,@,DET,L3-7,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,.321,.450,.617,1.067,4,.72,-0.054,-0.73,CF
22,708,22,May 6,NYY,@,DET,L4-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,.306,.433,.588,1.021,4,.86,-0.044,0.10,CF
23,709,23,May 7,NYY,@,CLE,W7-5,CG,5,3,0,0,0,0,0,0,2,1,0,0,0,,0,1,0,0,.295,.431,.568,.999,4,1.00,-0.058,-1.15,CF
